_id,NAME,ROUTE NO,DISTRICT,HOW NAMED,FROM,TO
98,Deputy Isaiah A. Cordero Memorial Highway,60,8,"SCR 16, CH 134, 2023",Pyrite Street UC# 56-528 R/L (PM R5.575),Valley Way UC# 56-424 (PM 7.533)
99,Officer Natalie Corona Memorial Highway,5,3,"ACR 66, CH 113, 2019",Greenbay Road OC# 15-60 (PM R3.149),Salt Creek Bridge# 15-05 (PM R7.991)
100,Corona Freeway,"71, 91, 15","7, 8","By Commission, 7/23/1958",I-10 west of Pomona,I-215
101,Thomas J. Cosgrove Memorial Highway,65,3,"SCR 46, CH 108, 2017",Lincoln Boulevard UC# 19-187L (PM R12.823),Nelson Lane (PM R15.546) 
102,Senator Jim Costa Highway,180,6,"ACR 102, CH 130, 2002",Route 99,Clovis Avenue
103,Costa Mesa Freeway,55,12,"ACR 177, CH 86, 1976",Southern Boundary of Costa Mesa,Route 91
104,Ohlone Costanoan Esselen Highway,68,5,"ACR 55, CH 135, 2013",ANZA DRIVE (APPROX) - PM 15.860,BLANCO ROAD - PM 19.971
105,Army Specialist Juan Miguel Mendez Covarrubias Memorial Highway,198,6,"ACR 157, CH 134, 2022","18th Avenue OC#
45-76 (PM R10.561)",14th Avenue UC# 45-79 (PM R14.767)
106,Dana Cowell Memorial Highway,12,10,"SCR 85, CH 103, 2012",Potato Slough EB# 29-101 - PM M5.002,JCT RTE 5 - PM 10.167
107,Joe Cox Memorial Highway,152,10,"ACR 224, CH 155 2018",Los Banos Campus of Merced (Approx. Postmile 18.006),San Luis Street intersection (Approx. Postmile 22.876)
108,James Craig Schmidt Memorial Highway,94,11,"ACR 57, CH 136, 2013",BANCROFT DR UC #57-538 L/R - PM R11.081,AVOCADO BLVD OC #57-575 - PM R13.333
109,Ricardo A. Crocker Memorial Highway,10,7,"SCR 20, CH 94, 2007",Within city limits of Santa Monica - PM R2.155,PM R4.267
110,Officer Rick Charles Cromwell Memorial Freeway,12,10,"SCR 38, CH 128, 1999",Lower Sacramento Road ,Route 99
111,Rudolph B. Davila Memorial Freeway,91,7,"SCR 107, CH 125, 2010",Central Avenue,Figueroa Street
112,Jacob Dekema Freeway,805,11,"SCR 12, CH 48, 1981",I-5,I-5
113,Donald E. DeMers Highway,41,6,"SCR 37, CH 138, 2006",Elkhorn Avenue,Jensen Avenue
114,Mayor Dick DeWees Memorial Highway,246,5,"ACR 165, CH 153, 2010",Post Mile 9.56,Post Mile R13.65
115,Pomona Police Officer Shaun Diamond Memorial Highway,10,7,"ACR 104, CH 53, 2016",Junction of State Route 57 Interchange (PM 42.443) ,North Towne Avenue Exit – Eastbound Off to Towne Avenue (PM 46.273)
116,"Richard ""Dick"" Dickerson Memorial Highway",44,2,"ACR 53, CH 134, 2015",EAST STREET - PM L0.241L & L0.312R,VICTOR AVENUE - PM R1.239
117,CHP Officer Robert Franklin Dickey Memorial Highway,8,11,"ACR 80, CH 70, 2008",Ogilby Road,Sidewinder Road
118,Border Patrol Agent Jarod Charles Dittman Memorial Highway,94,11,"ACR 154, CH 145, 2018",(PM 24.500),(PM 29.500)
119,Donald D. Doyle Highway,680,4,"SCR 69, CH 93, 1998",I-580,Route 24
120,Amber Dubois Memorial Highway,78,11,"ACR 165, CH 134, 2012",West Zoo Road - PM 23.636,Old Milky Way - PM 24.990
121,Dutch Flat and Donner Lake Wagon Road,80,3,"CH 224, 1909",Emigrant Gap,Donner Lake
122,CHP Officer Richard D. Duvall Memorial Highway,15,8,"SCR 69, CH 65, 2010",D Street,State Highway Route 395 interchange
123,Jeffrey “Jef” Dye Memorial Highway,5,7,"ACR 147, CH 44, 2020", Postmile R68.818,Forest SVC Road UC# 53-1837 (Postmile R73.553)
124,Amelia Earhart Memorial Highway,101,7,"ACR 79, CH 121, 2022","JCT 134 E, 170 N (Postmile 11.747R)",SB OFF LAUREL CANYON BL (Postmile 13.053)
125,Amelia Earhart Memorial Highway,134,7,"ACR 79, CH 121, 2022",JCT ST 170 N (Postmile 000.000),EB OFF PASS AVE (Postmile 1.669)
126,Eastshore Freeway,"880, 80",4,By Location,Route 101 in San Jose,Richmond
127,Kevin R. Ebbert SO1 Navy SEAL Memorial Highway,101,1,"ACR 54, CH 97, 2015",PM 85.350,PM 86.280
128,Dwight D. Eisenhower Highway,80,"4, 3","Federal Highway Act, 1973",San Francisco,Nevada State Line
129,Dwight David Eisenhower Memorial Freeway,41,6,"SCR 42, CH 141, 1971                  Adjusted SCR 45, CH1, 2016",Golden State Blvd (PM Approx. R22.196),Bullard Avenue OC# 42-303 (PM R29.463)
130,El Camino Real,"280, 82, 101, 5, 72","11, 12, 7, 5, 4","AB 1769, CH 1569, 1959, Streets & Highways Code Section 635",Mexico International Border,San Francisco
131,El Camino Real (additional routes),"238, 12, 37, 121, 87, 162, 185, 92, 123","11, 12, 7, 5, 4","AB 1707, CH 739, 2001, Streets & Highways Code Section 635",Mexico International Border,Sonoma
132,El Segundo Freeway,105,7,"ACR 46, CH 362, 1969",Route 1 near the City of El Segundo and LAX,I-405
133,"Los Angeles County Sheriff Deputy Juan Abel Escalante
Memorial Highway",101,7,"ACR 103, CH 117, 2010",North Mission Road,North Alameda Street
134,Escondido Freeway,15,11,"ACR 34, CH 67, 1979",I-5,I-8
135,Escondido Freeway ,"15, 215","11, 8","By Commission, 1/24/1957",I-805,Route 91
136,Esperanza Firefighters Memorial Highway,243,8,"ACR 4, CH 99, 2007",Route 74,I-10
137,"Lt. Leonard B. ""Larry"" Estes and Deputy William R. ""Bill"" Hunter Memorial Highway",149,3,"ACR 63, CH 14, 2008",Route 70,Route 99
138,Steve Faris Memorial Highway,330,8,"SCR 12, CH 72, 2009",Route 210,Route 18
139,Farm-to-Fork Corridor,99,2,"ACR 27, CH 109, 2021",Eldrid Avenue (PM 20.400),Arch Street (PM 24.529)
140,Vic Fazio Highway,113,"4, 3","ACR 100, CH 124, 1998",I-80,I-5
141,Caltrans Highway Maintenance Lead Worker Michael (Flea) Feliciano Memorial Highway,101,5,"SCR 120, CH 141, 2006",Payson Street,Esperanza Road
142,CHP Officer Ernest R. Felio Memorial Highway,101,1,"ACR 31, CH 70, 2007","Dr. Ernest Fine Memorial Bridge, Bridge No. 01-0020",Oregon State Line
143,Ralph Fertig Memorial Bicycle-Pedestrian Path,101,7,"ACR 58, CH 153, 2015",MOBIL PIER RD UC 52-328 - PM R39.782,END OF COUNTY OF VENTURA - R43.622
144,Fire Captain Ramon Figueroa and Firefighter Patrick Jones Memorial Highway,65,6,"SCR 14, CH 82, 2021",Avenue 128/Teapot Dome Avenue (PM 16.130),Avenue 166/Pioneer Avenue (PM 20.880)
145,Filipino-American Highway,54,11,"ACR 157, CH 145, 2006",Westernmost point of Route 54,Route 125
146,Foothill Freeway,210,"7, 8","SCR 29, CH 128, 1991",I-5,I-10 in Redlands
147,John F. Foran Freeway,280,4,"SCR 73, CH 49, 1986",San Mateo/San Francisco County Line,6th Street in San Francisco
148,Carleton E. Forbes Freeway,5,"10, 3","ACR 62, CH 26, 1982",Stockton,Sacramento
149,Police Officer Daniel T. Fraembs Memorial Highway,71,7,"SCR 12, CH 92, 2001",,
150,CHP Officers Walter Frago and Roger Gore Memorial Freeway,99,10,"ACR 180, CH 147, 2000",Mission Avenue,"Campus Parkway, UC Merced"
151,Stephanie Marie Frazier Memorial Highway,50,3,"SCR 22, CH 88, 2007","Post Mile 38.5, west of Ice House Road","Post Mile 40.5, east of Ice House Road"
152,Deputy Sheriff Robert “Bobby” French Memorial Highway,50,3,"ACR 212, CH 153 2018",(Postmile 0.1),Latrobe Road UC#25-71 (Postmile 0.857)
153,Los Angeles Police Officer Steven Gajda Memorial Highway,60,7,"SCR 38, CH 90, 2007","I-10, Post Mile .118","Indiana Street overpass, Post Mile 1.94"
154,United States Army Specialist Vilmar Galarza Hernandez Memorial Highway,183,5,"SCR 57, CH 21 2018",Junction of State Highway 101 (PM 0.000 - RTE183) ,Davis Road OC (PM R1.914)
155,Downey Police Officer Ricardo Galvez Memorial Highway,5,7,"SCR 111, CH 95, 2016",San Gabriel River Bridge #53-213 (PM 7.063),Rio Hondo River Bridge #53-639 (PM 9.466)
156,Detective Raul Vasquez Gama Memorial Highway,710,7,"SCR 26, CH 86, 2021",Florence Avenue OC# 53-834 (PM 19.730),Third Street OC# 53-1152 (PM 24.466)
157,Martin L. Ganz Memorial Highway,405,7,"ACR 145, CH 145, 2004",Hawthorne Boulevard in the City of Lawndale,Rosecrans Avenue in the City of Manhattan Beach
158,Arnold C. Garcia Memorial Highway,5,7,"ACR 130, CH 111, 2010",East Olympic Boulevard,South Atlantic Boulevard
159,Garden Grove Freeway,22,12,"By Commission, 10/22/1957",I-405,Route 55
160,Garden Grove Police Officers Memorial Highway,22,12,"ACR 127, CH 95, 2008",Western city limits of Garden Grove,Eastern city limits of Garden Grove
161,Gardena Freeway ,91,7,"SCR 16, CH 35, 1991",Eastern boundary of the City of Gardena,I-710
162,Deputy Greg A. Gariepy Memorial Highway,247,8,"ACR 20, CH 65, 2007",Route 62,Town limit of Yucca Valley
163,Hawthorne Police Officer Andrew Garton Memorial Highway,405,7,"ACR 100, CH 109, 2012",Rosecrans Ave. UC# 53-1236 - PM 19.205,El Segundo Blvd. UC# 53-1239 - PM 20.216
164,Dave Ghilarducci Memorial Highway,101,1,"SCR 12, CH 92, 2001",Bridge 04-0221,Bridge 04-0016
165,Luther E. Gibson Freeway ,680,4,"SCR 21, CH 160, 1967","Benicia, near the Benicia-Martinez Bridge",I-80 near Cordelia
166,Sergeant Gilbert Cortez and K-9 Mattie Memorial Highway,15,8,"SCR 64, CH 7, 2014",2ND STREET UC# 56-667 - PM 43.637,LIMONITE AVENUE OC# 56-663 - PM 48.261
167,Glendale Freeway,2,7,"By Commission, 8/17/1955",Route 101 ,I-210
168,Golden Center Freeway,20,3,"SR 340, HR 556, 1968",Route 49 near Grass Valley,Nevada City
169,Golden Chain Highway,49,"6, 10, 3, 2","AB 2922, CH 1318, 1992, Pub Res Code","Route 41 near Oakhurst, Madera County","Route 70 near Vinton, Plumas County"
170,Golden Gate Bridge Freeway,"1, 101",4,"SCR 11, CH 39, 1954",Route 1 from Lake Street to Route 101,Route 101 from Richardson Avenue to Waldo Point
