Name,Primary_Occupation,Sex,Race,Birth_Date,Death_Date,Wikipedia_Link
Roberto C Sanchez,,,,,,
Roger D Gore,,,,,,
Roger Gore,actor,male,,,,
Roger Lee,association football player,male,,1991-07-01,,https://en.wikipedia.org/wiki/Roger_Lee_(footballer)
Ronald Packard,,,,,,https://en.wikipedia.org/wiki/California_State_Route_78
Ronald Reagan,television actor,male,white people,1911-02-06,2004-06-05,https://en.wikipedia.org/wiki/Ronald_Reagan
Ronald Ron Lee Helus,,,,,,
Ronil Singh,,,,,,https://en.wikipedia.org/wiki/Murder_of_Ronil_Singh
Rosa Parks,,,,,,
Roy Wilson,judge,male,,1903-00-00,1982-04-12,
Ruben Salazar,journalist,male,,1928-03-03,1970-08-29,https://en.wikipedia.org/wiki/Ruben_Salazar
Rudolph B Davila,,,,,,
Russell M Miller,,,,,,
Ryan Stringer,,,,,,
Sally Ride,physicist,female,,1951-05-26,2012-07-23,https://en.wikipedia.org/wiki/Sally_Ride
Salvador J Lara,,,,,,
Sam Helwer,,,,,,
Samuel Sanchez,sport cyclist,male,,1978-02-05,,https://en.wikipedia.org/wiki/Samuel_S%C3%A1nchez
Sandra Powelllarson,,,,,,
Saul Martinez,association football player,male,,1976-01-29,,https://en.wikipedia.org/wiki/Sa%C3%BAl_Mart%C3%ADnez
Scott Ballantyne,association football player,male,,1996-04-12,,
Scott Lunger,,,,,,
Scott M Greenly,,,,,,
Sean Nava,,,,,,
Sergio Carrera Jr,,,,,,
Seth Jethro Nehring,,,,,,
Sharon Runner,politician,female,,1954-05-17,2016-07-14,https://en.wikipedia.org/wiki/Sharon_Runner
Shawn Baker,basketball player,male,,,,
Sig Sanchez,,,,,,
Sixto Maldonado,,,,,,
Sonny Bono,actor,male,,1935-02-16,1998-01-05,https://en.wikipedia.org/wiki/Sonny_Bono
Special Frank Hamilton,,,,,,
Stan Statham,politician,male,,1939-01-01,2020-07-30,https://en.wikipedia.org/wiki/Stan_Statham
Stanley L Van Vleck,,,,,,
Stephan Gene Gray,,,,,,
Stephanie Marie Frazier,,,,,,
Stephen M Linen,,,,,,
Stephen P Teale,,,,,,
Stephen Palmer,guitarist,male,,,,
Stephen Sorensen,,,,,,
Steve Faris,,,,,,
Steven L Licon,,,,,,
Steven Lindblom,,,,,,
Steven Rucker,,male,,1984-00-00,,
Ted Williams,military officer,male,,1918-08-30,2002-07-05,https://en.wikipedia.org/wiki/Ted_Williams
Thomas A Smith,researcher,male,,,,
Thomas J Cosgrove,,,,,,
Thomas J Steiner,,,,,,
Thomas P Coleman,,,,,,
Thomas R Adams,,,,,,
Tom Seaver,baseball player,male,,1944-11-17,2020-08-31,https://en.wikipedia.org/wiki/Tom_Seaver
Tommy Lasorda,baseball player,male,,1927-09-22,2021-01-07,https://en.wikipedia.org/wiki/Tommy_Lasorda
Tommy Scott,basketball coach,male,,1907-10-09,1962-06-11,https://en.wikipedia.org/wiki/Tommy_Scott_(coach)
Tony Gwynn,baseball player,male,,1960-05-09,2014-06-16,https://en.wikipedia.org/wiki/Tony_Gwynn
Tyler Ty Lenehan,,,,,,
Vallejo James Capoot,,,,,,
Vernon L Sturgeon,,,,,,
Vernon P Valenzuela,,,,,,
Vic Fazio,politician,male,,1942-10-11,2022-03-16,https://en.wikipedia.org/wiki/Vic_Fazio
Victor V Veysey,,,,,,
Walter C Frago,,,,,,
Walter Frago,,,,,,
Westminster Steven L Phillips,,,,,,
Willard F Libby,,,,,,
Willard H Murray,,,,,,
William Bill Lehn,,,,,,
William Byron Rumford,pharmacist,male,,1908-02-02,1986-06-12,https://en.wikipedia.org/wiki/William_Byron_Rumford
William Elton Brownie Brown,,,,,,
William H Lancaster,,,,,,
William Ivan Casselman,,,,,,
William P Sniffen,,,,,,
William R Bill Hunter,,,,,,
William R Bill Lucius,,,,,,
William R Clayton,,,,,,
William T Bagley,,,,,,
William Z Hegy,,,,,,
Willliam Alexander Leidesdorff,,,,,,
Yevhen Eugene Kostiuchenko,,,,,,
Young Oak Kim,politician,female,,1962-10-18,,https://en.wikipedia.org/wiki/Young_Kim
Ysmael R Villegas,,,,,,
